variant,m,game,repeat,Bhat,true_loss,covered,tightness
Pi1,1500,0,45,1.1162862036706462,0.39840901505370474,1,2.801859801089524
Pi1,1500,0,46,0.8771077548816043,0.39840901505370474,1,2.201525873513108
Pi1,1500,0,47,0.9139734373399716,0.39840901505370474,1,2.294058123199772
Pi1,1500,0,48,0.9167260893821646,0.39840901505370474,1,2.3009672340335765
Pi1,1500,0,49,0.9831048511830979,0.39840901505370474,1,2.4675768219014254
Pi1,5000,0,0,0.8701264263284899,0.39840901505370474,1,2.1840028549835866
Pi1,5000,0,1,0.8579021668119187,0.39840901505370474,1,2.153320166955246
Pi1,5000,0,2,0.8839470079990507,0.39840901505370474,1,2.218692285062617
Pi1,5000,0,3,0.8995194849626892,0.39840901505370474,1,2.257778943183391
Pi1,5000,0,4,0.8761706665080295,0.39840901505370474,1,2.1991737972844905
Pi1,5000,0,5,0.9031424841524922,0.39840901505370474,1,2.266872610878924
Pi1,5000,0,6,0.9191881536136084,0.39840901505370474,1,2.307146974296512
Pi1,5000,0,7,0.8832859503088791,0.39840901505370474,1,2.2170330412573973
Pi1,5000,0,8,0.8871168892887756,0.39840901505370474,1,2.2266486343668555
Pi1,5000,0,9,0.8817271826372294,0.39840901505370474,1,2.213120560332638
Pi1,5000,0,10,0.8779764544520653,0.39840901505370474,1,2.2037062949836006
Pi1,5000,0,11,0.8630307073893861,0.39840901505370474,1,2.166192718488188
Pi1,5000,0,12,0.9374811287321352,0.39840901505370474,1,2.353062037528856
Pi1,5000,0,13,0.9367544082840105,0.39840901505370474,1,2.351237981293515
Pi1,5000,0,14,0.8972056832860236,0.39840901505370474,1,2.251971339466508
Pi1,5000,0,15,0.8920305887661159,0.39840901505370474,1,2.238981938312495
Pi1,5000,0,16,0.8709073939709795,0.39840901505370474,1,2.185963070774347
Pi1,5000,0,17,0.8712666454030327,0.39840901505370474,1,2.1868647858924266
Pi1,5000,0,18,0.9136536770174011,0.39840901505370474,1,2.2932555301095343
Pi1,5000,0,19,0.8889404530809942,0.39840901505370474,1,2.2312257491491923
Pi1,5000,0,20,0.904097904079331,0.39840901505370474,1,2.2692706990012774
Pi1,5000,0,21,0.9075033515503487,0.39840901505370474,1,2.277818315501769
Pi1,5000,0,22,0.8979179990244615,0.39840901505370474,1,2.253759240120166
Pi1,5000,0,23,0.8799833739755358,0.39840901505370474,1,2.208743629601142
Pi1,5000,0,24,0.9201425084724444,0.39840901505370474,1,2.3095423891158964
Pi1,5000,0,25,0.8716148506009982,0.39840901505370474,1,2.1877387751467077
Pi1,5000,0,26,0.8726724267572182,0.39840901505370474,1,2.1903932737053746
Pi1,5000,0,27,0.8859254431839217,0.39840901505370474,1,2.2236581244641282
Pi1,5000,0,28,0.8588507756718194,0.39840901505370474,1,2.1557011594128914
Pi1,5000,0,29,0.9016278282063238,0.39840901505370474,1,2.263070849651297
Pi1,5000,0,30,0.8899219130011353,0.39840901505370474,1,2.2336891972215427
Pi1,5000,0,31,0.9253219194947543,0.39840901505370474,1,2.322542624619131
Pi1,5000,0,32,0.8491641295908929,0.39840901505370474,1,2.131387838893222
Pi1,5000,0,33,0.886254219343244,0.39840901505370474,1,2.224483347154629
Pi1,5000,0,34,0.8961027858717711,0.39840901505370474,1,2.249203085304127
Pi1,5000,0,35,0.8617475150616106,0.39840901505370474,1,2.1629719270921837
Pi1,5000,0,36,0.8552231920594716,0.39840901505370474,1,2.1465959848930356
