bound_type,game,repeat,Bhat,true_loss,covered,ratio_L
clipped_empirical_bernstein,1,16,0.44717759206735025,0.37859862157451374,1,1.18113898621086
naive_plugin,1,16,0.392696555490213,0.37859862157451374,1,1.0372371506717823
empirical_bernstein,1,17,0.44325685022601335,0.37859862157451374,1,1.1707830535214294
hoeffding,1,17,0.5105368187695918,0.37859862157451374,1,1.348490960284996
clipped_empirical_bernstein,1,17,0.43703575998857974,0.37859862157451374,1,1.1543511652816854
naive_plugin,1,17,0.3824862887200295,0.37859862157451374,1,1.0102685718435733
empirical_bernstein,1,18,0.419942430055073,0.37859862157451374,1,1.1092022160794428
hoeffding,1,18,0.4886250080701261,0.37859862157451374,1,1.2906148628804703
clipped_empirical_bernstein,1,18,0.4144190224254375,0.37859862157451374,1,1.094613130660524
naive_plugin,1,18,0.3605744780205638,0.37859862157451374,0,0.9523924744390478
empirical_bernstein,1,19,0.4456638933923566,0.37859862157451374,1,1.1771408240709704
hoeffding,1,19,0.5124245076071752,0.37859862157451374,1,1.3534769500113528
clipped_empirical_bernstein,1,19,0.4397923748386307,0.37859862157451374,1,1.1616322664082208
naive_plugin,1,19,0.3843739775576129,0.37859862157451374,1,1.0152545615699302
empirical_bernstein,1,20,0.4125854927770535,0.37859862157451374,1,1.0897701926678849
hoeffding,1,20,0.481330680494884,0.37859862157451374,1,1.2713482117106734
clipped_empirical_bernstein,1,20,0.4060795828811911,0.37859862157451374,1,1.072586004651548
naive_plugin,1,20,0.3532801504453217,0.37859862157451374,0,0.9331258232692509
empirical_bernstein,1,21,0.4476125482021703,0.37859862157451374,1,1.1822878444212022
hoeffding,1,21,0.5149752806296393,0.37859862157451374,1,1.3602143570622711
clipped_empirical_bernstein,1,21,0.44183800965188375,0.37859862157451374,1,1.1670354419526685
naive_plugin,1,21,0.386924750580077,0.37859862157451374,1,1.0219919686208487
empirical_bernstein,1,22,0.47145075827569316,0.37859862157451374,1,1.2452521784549202
hoeffding,1,22,0.5367641443686774,0.37859862157451374,1,1.417765712237371
clipped_empirical_bernstein,1,22,0.46485587950786783,0.37859862157451374,1,1.227832995203807
naive_plugin,1,22,0.40871361431911507,0.37859862157451374,1,1.0795433237959486
empirical_bernstein,1,23,0.46424277766028266,0.37859862157451374,1,1.2262135972117185
hoeffding,1,23,0.5301968376973585,0.37859862157451374,1,1.4004193557081084
clipped_empirical_bernstein,1,23,0.45757678153096165,0.37859862157451374,1,1.208606570272216
naive_plugin,1,23,0.40214630764779624,0.37859862157451374,1,1.062196967266686
empirical_bernstein,1,24,0.4165053349696441,0.37859862157451374,1,1.1001237490973532
hoeffding,1,24,0.485122902908668,0.37859862157451374,1,1.2813646835034467
clipped_empirical_bernstein,1,24,0.4104436107921887,0.37859862157451374,1,1.084112797572369
naive_plugin,1,24,0.3570723728591057,0.37859862157451374,0,0.9431422950620243
empirical_bernstein,1,25,0.4513535577557153,0.37859862157451374,1,1.1921690466770025
hoeffding,1,25,0.5183716960933058,0.37859862157451374,1,1.3691853761577488
clipped_empirical_bernstein,1,25,0.44473470947363497,0.37859862157451374,1,1.1746865522755334
naive_plugin,1,25,0.39032116604374345,0.37859862157451374,1,1.0309629877163262
empirical_bernstein,1,26,0.45342082478806667,0.37859862157451374,1,1.197629359828049
hoeffding,1,26,0.5201061319652592,0.37859862157451374,1,1.3737665758059152
clipped_empirical_bernstein,1,26,0.44892182793149066,0.37859862157451374,1,1.185746070771513
naive_plugin,1,26,0.39205560191569694,0.37859862157451374,1,1.0355441873644928
empirical_bernstein,1,27,0.45730764181081796,0.37859862157451374,1,1.2078956862256116
