m_F,Bhat,Bhat_capped,true_loss,Rmax,C2_exact,covered,Xbar,ratio_L,ratio_Rmax,ratio_XC2,jensen_pop_bound,game,K,repeat
318,0.5804396601732342,0.5804396601732342,0.3410240913946273,3.973529060433214,0.3472065217248905,1,0.3658823781186049,1.7020488429410088,0.14607661133097433,1.0537888986097796,4.495534950198619,1,25,9
287,0.5245739977853934,0.5245739977853934,0.3410240913946273,3.973529060433214,0.3472065217248905,1,0.3189168333350714,1.538231494555513,0.13201715397249458,0.9185220132119682,4.495534950198619,1,25,10
315,0.5090030670249555,0.5090030670249555,0.3410240913946273,3.973529060433214,0.3472065217248905,1,0.30368654509163423,1.4925721668031533,0.1280984885937795,0.8746567995985415,4.495534950198619,1,25,11
334,0.5629060317365773,0.5629060317365773,0.3410240913946273,3.973529060433214,0.3472065217248905,1,0.3518774985770733,1.6506342101361746,0.14166400274802732,1.013453021645382,4.495534950198619,1,25,12
310,0.5552075357419284,0.5552075357419284,0.3410240913946273,3.973529060433214,0.3472065217248905,1,0.34338491589945863,1.6280595704291507,0.13972655724868333,0.9889932775270277,4.495534950198619,1,25,13
312,0.6254043765393807,0.6254043765393807,0.3410240913946273,3.973529060433214,0.3472065217248905,1,0.40586082741178403,1.8339008660114673,0.1573926771460924,1.168932039051295,4.495534950198619,1,25,14
298,0.5815627105905088,0.5815627105905088,0.3410240913946273,3.973529060433214,0.3472065217248905,1,0.36688562376184675,1.7053420132642014,0.14635924432552253,1.0566783767170969,4.495534950198619,1,25,15
317,0.5647481101039297,0.5647481101039297,0.3410240913946273,3.973529060433214,0.3472065217248905,1,0.3546474545081608,1.6560358178637085,0.14212759023897964,1.0214308554640747,4.495534950198619,1,25,16
309,0.6021056460861074,0.6021056460861074,0.3410240913946273,3.973529060433214,0.3472065217248905,1,0.38600268355550676,1.7655809700240823,0.15152919153948827,1.1117379985775624,4.495534950198619,1,25,17
316,0.559052247871459,0.559052247871459,0.3410240913946273,3.973529060433214,0.3472065217248905,1,0.3469071670094082,1.6393335895572645,0.14069413847712198,0.9991378194338195,4.495534950198619,1,25,18
297,0.5152097505372353,0.5152097505372353,0.3410240913946273,3.973529060433214,0.3472065217248905,1,0.30793448434133847,1.5107722989020247,0.12966049642557906,0.8868914178557127,4.495534950198619,1,25,19
317,0.5853353810676838,0.5853353810676838,0.3410240913946273,3.973529060433214,0.3472065217248905,1,0.37085508988830856,1.7164047814743493,0.1473086951587231,1.0681109561131918,3.1788232483465713,1,50,0
321,0.592674023899592,0.592674023899592,0.3410240913946273,3.973529060433214,0.3472065217248905,1,0.3792906312998048,1.737924207864129,0.14915557804803767,1.0924064139565217,3.1788232483465713,1,50,1
292,0.5300874174900239,0.5300874174900239,0.3410240913946273,3.973529060433214,0.3472065217248905,1,0.32019721295055764,1.5543987385824178,0.1334046912525238,0.9222096732510867,3.1788232483465713,1,50,2
288,0.4881166740120388,0.4881166740120388,0.3410240913946273,3.973529060433214,0.3472065217248905,1,0.28516353250763915,1.4313260744009972,0.12284210498735396,0.8213081110659228,3.1788232483465713,1,50,3
319,0.6074513287479288,0.6074513287479288,0.3410240913946273,3.973529060433214,0.3472065217248905,1,0.39101372606464996,1.781256351314478,0.15287451520027426,1.126170453602453,3.1788232483465713,1,50,4
312,0.5342093036114477,0.5342093036114477,0.3410240913946273,3.973529060433214,0.3472065217248905,1,0.3258893341343281,1.5664855272446712,0.13444202759981966,0.9386037235572057,3.1788232483465713,1,50,5
