game,eta,V_naive,V_wrapper,rel_gap
44,0.1,3.4153671916587554,3.3115106331035205,0.030408606951097945
44,0.2,3.4153671916587554,3.0100907387069125,0.11866262984049689
44,0.3,3.4153671916587554,2.790756583013497,0.1828824174419204
45,0.0,3.202007363570006,3.202007363570006,0.0
45,0.1,3.202007363570006,3.1282228333261872,0.023043210662236364
45,0.2,3.202007363570006,3.0190270654952784,0.05714549569729048
45,0.3,3.202007363570006,2.5992210167954313,0.18825264221574403
46,0.0,3.1705156880215517,3.1705156880215517,0.0
46,0.1,3.1705156880215517,3.104911520233226,0.0206919549445825
46,0.2,3.1705156880215517,2.8083856328230734,0.1142180297206587
46,0.3,3.1705156880215517,2.4328674702050628,0.23265875023760993
47,0.0,3.307218942731419,3.307218942731419,0.0
47,0.1,3.307218942731419,3.1806054168513582,0.0382839866468614
47,0.2,3.307218942731419,2.903433502807877,0.12209214049432275
47,0.3,3.307218942731419,2.673470258635022,0.19162586296187595
48,0.0,3.163249007439576,3.163249007439576,0.0
48,0.1,3.163249007439576,3.1068586721348597,0.01782671397486144
48,0.2,3.163249007439576,2.8567098232304056,0.09690643493171774
48,0.3,3.163249007439576,2.675093916550898,0.15432079156154832
49,0.0,3.240019972995014,3.240019972995014,0.0
49,0.1,3.240019972995014,3.189854914915004,0.015482947167808764
49,0.2,3.240019972995014,3.018197369375317,0.06846334448555429
49,0.3,3.240019972995014,2.5940150095280017,0.19938301882456436
50,0.0,3.180712914251971,3.180712914251971,0.0
50,0.1,3.180712914251971,3.169229403269938,0.003610357579575242
50,0.2,3.180712914251971,2.945830493225384,0.07384584125788031
50,0.3,3.180712914251971,2.5084109900939704,0.21136831335334197
51,0.0,3.2767864475627464,3.2767864475627464,0.0
51,0.1,3.2767864475627464,3.2228191962061867,0.01646956620570456
51,0.2,3.2767864475627464,3.1218394822037063,0.047286256761407935
51,0.3,3.2767864475627464,2.942812551910059,0.10192116602507739
52,0.0,3.4222772111900013,3.4222772111900013,0.0
52,0.1,3.4222772111900013,3.3622433139090866,0.017542090707052184
52,0.2,3.4222772111900013,3.2199647236894617,0.05911633539793659
52,0.3,3.4222772111900013,3.0425667747611964,0.11095256546614428
53,0.0,3.30871211110034,3.30871211110034,0.0
53,0.1,3.30871211110034,3.286679623310151,0.006658931645824858
53,0.2,3.30871211110034,3.000679402105832,0.09309746468059185
53,0.3,3.30871211110034,2.7112954401177234,0.18055867381081453
