game,true_loss,C0,Cstar,Ctilde,delta_r,r_C0,r_Cstar,r_Ctilde,slack_Ctilde,true_over_range,usable
121,0.366965973041467,2.9171905353027974,0.7776643531524576,0.3728538742730376,0.9859659814928416,7.949485101097251,2.1191729214211965,1.016044815225703,0.01604481522570294,0.09304732108653671,True
122,0.3541900377682871,2.9849249267565447,0.7123273560293194,0.356326850086356,0.9610219753754762,8.427467202534075,2.011144527151629,1.0060329543189095,0.00603295431890946,0.09213890182633526,True
123,0.4028412466325399,3.2335656297018893,0.8539102649087416,0.40562348365429124,0.9784359248983209,8.026898081395956,2.1197190507347767,1.006906534633702,0.006906534633702044,0.10292989974647629,True
124,0.39072255878874756,3.5701852969505716,0.75988324222047,0.39646920135590896,0.9890949687183135,9.137392291907231,1.9448153814720408,1.0147077317085968,0.014707731708596947,0.09875759435290948,True
125,0.3591897445887743,3.3680958907237457,0.7607230974830683,0.3679880426888579,0.9806222341025452,9.376926656354788,2.117886462359881,1.0244948477305678,0.02449484773056787,0.09157189488914169,True
126,0.44413692177390773,3.5528900955523315,0.8428418180255746,0.4538512853122781,0.9997058167832347,7.999537803256459,1.8977071635008798,1.0218724520798015,0.021872452079801517,0.11106690446270794,True
127,0.30695087262764714,2.915302944169004,0.6594293217212814,0.31355501119374585,0.9929326511397398,9.49762064271917,2.1483220297640764,1.0215152949707036,0.021515294970703622,0.07728391051379792,True
128,0.4119209045581086,4.154990943549554,0.8719264780732323,0.4158717360559784,0.9963778745749393,10.086865943370496,2.1167327718135556,1.009591238157986,0.009591238157985875,0.10335458942568262,True
129,0.39204387350356074,3.0627252616887732,0.8228878338249208,0.39805911180143017,0.9644455667588971,7.812200288498976,2.098968736511698,1.0153432784043106,0.015343278404310523,0.10162415770675844,True
130,0.2949437434523895,2.6159751556183686,0.6075701228532325,0.299784962021601,0.9958266374461673,8.869403788660618,2.05995257177343,1.0164140405642914,0.016414040564291448,0.07404495229430275,True
131,0.3225320180438032,2.888243313875597,0.6570292255528748,0.326801088114049,0.9898459456973562,8.954904171663799,2.037097679597327,1.013236112483152,0.013236112483152016,0.08146015535189575,True
132,0.2612058699944215,2.8006244873163357,0.6294858628478631,0.2641322596634877,0.9809257466958102,10.721904861388252,2.4099223453948673,1.0112033840170922,0.0112033840170922,0.06657126466357874,True
133,0.47259412536132933,3.910426875099861,0.9034777985375538,0.4794225523133477,0.9818248349153187,8.274387397664078,1.9117414924419247,1.0144488189454273,0.014448818945427155,0.12033565167509998,True
134,0.34200793311990035,2.9594905880527103,0.7523188729905108,0.34605683956570976,0.9830892212829696,8.653280527896932,2.1997117614425763,1.011838633124308,0.011838633124308119,0.08697276038525951,True
135,0.28267679645887833,2.162293342169074,0.5586194650741976,0.28683787699294977,0.9894133569093618,7.6493485466665385,1.976177288239013,1.0147202762525886,0.014720276252588562,0.07142535384348309,True
136,0.3509530955965485,2.8594525037025966,0.6770487832647911,0.3541772831048466,0.9983717581980903,8.14767711007681,1.9291717091537448,1.0091869470557528,0.00918694705575285,0.08788136601288823,True
137,0.4458432358251432,3.926684769247843,0.9473436887665432,0.45608665597173026,0.9977588309136045,8.807321618282582,2.124835845077361,1.0229753853450958,0.022975385345095786,0.11171117258288354,True
